Date,Timestamp,Open,High,Low,Close,Volume
2021-05-24,00:00:00,1.21778,1.22298,1.21722,1.22151,81771.0641357899
2021-05-25,00:00:00,1.22146,1.22664,1.22113,1.22497,96261.1351734772
2021-05-26,00:00:00,1.22481,1.22629,1.2182,1.21922,89787.1502377093
2021-05-27,00:00:00,1.21906,1.22149,1.21751,1.2193,88415.3802054971
2021-05-28,00:00:00,1.21932,1.22048,1.21325,1.21905,98112.8202056959
2021-05-31,00:00:00,1.2199,1.22312,1.21832,1.22243,58683.2751412094
2021-06-01,00:00:00,1.22243,1.22542,1.22116,1.22126,81562.209440425
2021-06-02,00:00:00,1.22125,1.22265,1.2164,1.221,77832.3652189672
2021-06-03,00:00:00,1.22097,1.22141,1.21181,1.21265,97226.5451504886
2021-06-04,00:00:00,1.21261,1.21856,1.21039,1.21644,94617.0351228267
2021-06-07,00:00:00,1.21601,1.22017,1.21448,1.21893,56558.2400323376
2021-06-08,00:00:00,1.21892,1.21941,1.21642,1.21726,77182.2521517575
2021-06-09,00:00:00,1.21725,1.22179,1.21711,1.21775,53462.343766816
2021-06-10,00:00:00,1.21774,1.21945,1.21433,1.21751,113452.98448734
2021-06-11,00:00:00,1.21751,1.21929,1.20925,1.21072,79121.1803135127
2021-06-14,00:00:00,1.21045,1.21305,1.20942,1.21195,56891.2602238953
2021-06-15,00:00:00,1.21191,1.21473,1.21013,1.21261,70505.8450890034
2021-06-16,00:00:00,1.21257,1.21347,1.19939,1.1994,118140.030045234
2021-06-17,00:00:00,1.1994,1.20062,1.18916,1.19059,137926.650210194
2021-06-18,00:00:00,1.19057,1.19249,1.18472,1.18592,141902.480034471
2021-06-21,00:00:00,1.18542,1.19213,1.18476,1.1917,114807.480071172
2021-06-22,00:00:00,1.19167,1.19526,1.18808,1.19407,91056.8951173723
2021-06-23,00:00:00,1.19363,1.197,1.19113,1.19255,90192.8502356261
2021-06-24,00:00:00,1.19255,1.19562,1.19176,1.19316,80934.1451387033
2021-06-25,00:00:00,1.19312,1.19751,1.19261,1.19347,76449.3001370355
2021-06-28,00:00:00,1.19296,1.19444,1.19022,1.1923,81234.6401716918
2021-06-29,00:00:00,1.19209,1.19295,1.18775,1.18953,88112.185137935
2021-06-30,00:00:00,1.18955,1.1909,1.1845,1.18558,99521.5650777444
2021-07-01,00:00:00,1.1856,1.18842,1.18373,1.18492,97887.8448843583
2021-07-02,00:00:00,1.18492,1.18741,1.1807,1.18622,96107.6650244817
2021-07-05,00:00:00,1.18598,1.18804,1.18513,1.1862,61653.2800055742
2021-07-06,00:00:00,1.1862,1.18951,1.18068,1.18234,97935.8150967509
2021-07-07,00:00:00,1.18231,1.18364,1.17815,1.179,97920.8400966078
2021-07-08,00:00:00,1.179,1.18678,1.17834,1.18441,136572.459948562
2021-07-09,00:00:00,1.18441,1.1881,1.18249,1.1871,99638.7550844625
2021-07-12,00:00:00,1.18751,1.18802,1.1836,1.18596,78221.8705298007
2021-07-13,00:00:00,1.18594,1.18751,1.17721,1.17758,91330.7801593468
2021-07-14,00:00:00,1.17756,1.18387,1.17717,1.18355,80432.2948897406
2021-07-15,00:00:00,1.1835,1.18506,1.17962,1.18118,78810.6202131212
2021-07-16,00:00:00,1.18119,1.18221,1.17921,1.18047,75426.9551675022
2021-07-19,00:00:00,1.18054,1.18244,1.17636,1.17967,103317.763833918
2021-07-20,00:00:00,1.17979,1.18024,1.17555,1.17801,105180.595973633
2021-07-21,00:00:00,1.17776,1.18046,1.17518,1.17939,77664.5101797804
2021-07-22,00:00:00,1.17892,1.18304,1.17572,1.17706,113584.225234978
2021-07-23,00:00:00,1.17706,1.17865,1.17544,1.17683,70993.0272852965
2021-07-26,00:00:00,1.17681,1.18172,1.17632,1.18026,73500.1446706206
2021-07-27,00:00:00,1.18027,1.18409,1.17698,1.18165,70716.7477054242
2021-07-28,00:00:00,1.1816,1.18494,1.17721,1.18432,94418.2750666067
2021-07-29,00:00:00,1.18432,1.18927,1.18406,1.1886,66404.0500933863
2021-07-30,00:00:00,1.18859,1.19085,1.18515,1.18667,80763.4806084856
2021-08-02,00:00:00,1.18641,1.18968,1.18587,1.18675,65193.0226510391
2021-08-03,00:00:00,1.18671,1.18932,1.18535,1.18632,61158.1651159823
2021-08-04,00:00:00,1.18632,1.18996,1.18326,1.18364,59572.9094370455
2021-08-05,00:00:00,1.18364,1.18572,1.1828,1.18321,52567.9751344472
2021-08-06,00:00:00,1.1832,1.18357,1.17543,1.17596,56752.0600964427
2021-08-09,00:00:00,1.1758,1.17689,1.17348,1.17359,51570.2301066741
2021-08-10,00:00:00,1.17359,1.17427,1.17095,1.17185,76856.6401578337
2021-08-11,00:00:00,1.17185,1.17541,1.17059,1.17381,58849.6601257771
2021-08-12,00:00:00,1.17381,1.17481,1.17236,1.17291,47023.9900008067
2021-08-13,00:00:00,1.17287,1.18045,1.17283,1.17933,45321.5000978932
2021-08-16,00:00:00,1.17934,1.18007,1.17672,1.17764,44291.9901007488
2021-08-17,00:00:00,1.17763,1.17846,1.17079,1.17086,58819.2899856269
2021-08-18,00:00:00,1.17088,1.17427,1.16936,1.17089,59729.4299959093
2021-08-19,00:00:00,1.17088,1.17166,1.16656,1.16753,64180.0201231986
2021-08-20,00:00:00,1.16753,1.17044,1.16638,1.16951,51564.8750092685
2021-08-23,00:00:00,1.16935,1.17501,1.16925,1.17439,57461.8300807253
2021-08-24,00:00:00,1.17439,1.1765,1.17272,1.17541,47464.1700536162
2021-08-25,00:00:00,1.17541,1.17745,1.1726,1.17711,58417.7550602257
2021-08-26,00:00:00,1.1771,1.17789,1.17458,1.17513,65088.210020259
2021-08-27,00:00:00,1.17515,1.18022,1.17348,1.1791,93344.5381979644
2021-08-30,00:00:00,1.17937,1.18097,1.17827,1.17964,54170.020119518
2021-08-31,00:00:00,1.17963,1.1845,1.17936,1.18079,66223.8601279482
2021-09-01,00:00:00,1.18082,1.18571,1.17935,1.1838,63610.2501910478
2021-09-02,00:00:00,1.18378,1.1876,1.18342,1.18744,50047.1951376572
2021-09-03,00:00:00,1.18743,1.1909,1.18655,1.18773,72552.520126529
2021-09-06,00:00:00,1.1876,1.18862,1.18557,1.18683,41377.5301073119
2021-09-07,00:00:00,1.18679,1.18851,1.18374,1.18399,66778.5926400572
2021-09-08,00:00:00,1.18358,1.18511,1.18019,1.1814,79097.18859642
2021-09-09,00:00:00,1.18139,1.18412,1.18051,1.18236,79552.6902115718
